3500 240114
0 52 43
0 71 2250
0 72 1510
0 180 2222
0 194 378
0 240 2547
0 263 196
0 285 769
0 328 2694
0 367 2538
0 426 1582
0 490 919
0 497 1072
0 581 3181
0 641 77
0 681 2584
0 749 1285
0 867 2491
0 943 1737
0 984 1205
0 1024 3177
0 1027 1941
0 1033 2732
0 1085 3465
0 1234 2213
0 1292 2238
0 1295 910
0 1325 1742
0 1516 971
0 1523 743
0 1586 2199
0 1601 222
0 1616 592
0 1633 2210
0 1645 1510
0 1682 3279
0 1705 1877
0 1858 2899
0 1895 1078
0 1952 2673
0 2051 3399
0 2069 2295
0 2180 531
0 2181 2916
0 2196 1768
0 2202 3442
0 2234 281
0 2337 1016
0 2364 75
0 2404 2123
0 2405 599
0 2471 1788
0 2620 1028
0 2654 1261
0 2769 1599
0 2772 1119
0 2810 2808
0 2907 1985
0 2913 2468
0 2942 987
0 2963 97
0 3025 310
0 3179 105
0 3189 1831
0 3215 576
0 3261 2469
0 3292 1480
0 3338 1726
0 3391 845
0 3405 2280
1 7 2127
1 12 3242
1 13 652
1 17 2340
1 61 1219
1 134 1324
1 176 3369
1 367 3307
1 378 354
1 380 1373
1 483 1340
1 533 3255
1 578 1332
1 586 2374
1 621 1260
1 665 2828
1 690 3108
1 783 3421
1 803 505
1 812 3492
1 900 1857
1 924 1320
1 942 1719
1 972 1596
1 1047 277
1 1133 497
1 1175 1188
1 1230 1335
1 1255 130
1 1276 906
1 1325 3098
1 1446 1833
1 1464 1330
1 1577 1139
1 1679 1245
1 1759 1187
1 1814 3140
1 1829 3166
1 1840 1391
1 1862 1978
1 1884 1835
1 1891 234
1 2007 1463
1 2043 3416
1 2053 2702
1 2108 2369
1 2109 804
1 2198 625
1 2214 3381
1 2379 1142
1 2481 1988
1 2571 2888
1 2613 2147
1 2768 2121
1 2897 2895
1 2930 1080
1 2952 3192
1 2957 1603
1 2959 2477
1 2963 365
1 3047 3236
1 3123 1793
1 3161 2988
1 3187 3008
1 3215 1674
1 3228 3270
1 3376 1500
1 3428 2081
1 3448 1507
1 3471 1546
2 53 1523
2 133 1771
2 143 2884
2 284 2470
2 513 1587
2 534 1156
2 724 1321
2 772 1651
2 838 1892
2 848 1873
2 870 1214
2 881 452
2 905 3428
2 912 2732
2 999 1267
2 1042 905
2 1104 692
2 1174 3159
2 1199 2196
2 1332 1270
2 1589 2615
2 1602 2956
2 1628 1835
2 1633 1388
2 1658 312
2 1671 2887
2 1781 562
2 1807 2649
2 1817 2395
2 1866 1479
2 1925 3296
2 1985 612
2 2011 678
2 2036 2964
2 2039 519
2 2065 930
2 2170 362
2 2177 2046
2 2198 3061
2 2204 2985
2 2209 818
2 2218 2655
2 2337 302
2 2371 74
2 2404 2135
2 2448 1755
2 2453 3324
2 2516 2240
2 2544 1135
2 2580 322
2 2634 3458
2 2715 1279
2 2725 3491
2 2741 496
2 2745 3408
2 2819 1209
2 2838 3393
2 2870 606
2 2971 2740
2 2997 2828
2 3042 1254
2 3050 2976
2 3198 3041
2 3227 1161
2 3243 17
2 3322 1474
2 3370 774
2 3398 1836
2 3412 1025
2 3490 41
2 3495 3479
3 39 2538
3 49 1827
3 215 1271
3 248 1328
3 282 2622
3 303 1518
3 400 326
3 435 2366
3 479 1117
3 481 3212
3 488 1620
3 524 3029
3 574 1264
3 586 2508
3 623 1084
3 713 494
3 739 428
3 842 2869
3 961 2752
3 1071 2073
3 1080 1615
3 1087 2337
3 1164 1868
3 1196 2947
3 1301 3232
3 1304 827
3 1334 1440
3 1424 3412
3 1426 2443
3 1492 2600
3 1499 3305
3 1503 1688
3 1560 3184
3 1802 2416
3 1808 2877
3 1878 2131
3 1902 3338
3 1953 914
3 1959 1118
3 2040 1555
3 2141 861
3 2293 1162
3 2318 2829
3 2380 335
3 2389 3345
3 2601 2765
3 2611 512
3 2649 1088
3 2695 638
3 2709 1347
3 2762 3423
3 2795 1664
3 2878 1051
3 2998 2043
3 3119 3006
3 3173 3442
3 3230 1378
3 3249 1247
3 3323 317
3 3333 2259
3 3344 1261
3 3392 1285
3 3396 521
4 39 2730
4 98 1315
4 144 1586
4 215 401
4 273 1858
4 349 3197
4 351 729
4 376 862
4 524 1583
4 580 3306
4 596 1272
4 633 2605
4 647 2184
4 715 2610
4 790 2084
4 801 1685
4 810 2830
4 811 1427
4 903 1111
4 939 1088
4 952 364
4 980 2767
4 1132 1666
4 1282 2857
4 1311 3044
4 1335 806
4 1350 3141
4 1414 1948
4 1879 1583
4 1958 2725
4 2063 1097
4 2077 1344
4 2213 3187
4 2247 1944
4 2269 2131
4 2272 1936
4 2273 1531
4 2281 1884
4 2355 3272
4 2451 2729
4 2469 1099
4 2494 1555
4 2624 2981
4 2661 1694
4 2669 3437
4 2717 1974
4 2734 1018
4 2779 476
4 2821 2598
4 2898 3049
4 2914 600
4 2923 2244
4 3040 1462
4 3058 843
4 3106 2358
4 3108 1621
4 3168 1042
4 3169 1888
4 3194 1563
4 3393 1107
4 3402 3168
4 3443 716
4 3448 1825
4 3449 2633
4 3450 2766
4 3491 1108
4 3498 2524
5 114 1396
5 269 3048
5 306 122
5 383 947
5 430 1432
5 579 2939
5 587 2369
5 588 293
5 658 220
5 854 2446
5 866 945
5 900 634
5 904 1549
5 912 3365
5 992 2423
5 1006 3217
5 1051 70
5 1059 1160
5 1125 2068
5 1278 2839
5 1394 411
5 1395 3395
5 1489 2834
5 1530 2988
5 1706 3139
5 1747 1736
5 1809 2979
5 1815 2891
5 1876 3220
5 1881 1466
5 1884 3383
5 1921 2125
5 1950 3228
5 1956 2903
5 1992 2012
5 2087 3415
5 2103 1655
5 2124 228
5 2187 1121
5 2188 3432
5 2238 2673
5 2309 248
5 2319 1514
5 2362 3099
5 2383 1049
5 2408 1124
5 2569 243
5 2574 788
5 2576 2298
5 2745 1499
5 2801 10
5 2818 1122
5 2826 1195
5 2866 64
5 2870 2800
5 2887 3128
5 2892 363
5 2994 811
5 3015 2832
5 3020 1080
5 3133 312
5 3202 227
5 3213 815
5 3242 788
5 3244 145
5 3311 2498
5 3374 2799
5 3439 1882
5 3494 973
6 35 1141
6 93 2071
6 100 3314
6 127 1749
6 317 2154
6 318 3148
6 355 3386
6 430 3373
6 433 823
6 444 265
6 514 2330
6 567 1974
6 662 338
6 824 1807
6 826 1934
6 837 1784
6 865 2051
6 888 2383
6 921 2252
6 1090 2347
6 1241 1226
6 1394 661
6 1396 3419
6 1406 1417
6 1413 1897
6 1451 315
6 1515 1784
6 1636 2174
6 1652 210
6 1760 1073
6 1931 3292
6 1932 859
6 1972 477
6 2017 1445
6 2202 3186
6 2293 175
6 2355 1334
6 2420 3241
6 2556 2114
6 2596 759
6 2603 2425
6 2606 1656
6 2624 1281
6 2689 3222
6 2707 2694
6 2718 3318
6 2737 1649
6 2822 970
6 2869 3429
6 2873 2300
6 2926 73
6 2969 2829
6 3005 3395
6 3118 27
6 3131 2433
6 3140 1331
6 3239 2899
6 3370 3453
6 3459 2000
7 31 1157
7 220 3272
7 407 2210
7 447 2883
7 547 1699
7 619 872
7 638 2543
7 718 752
7 736 87
7 744 3348
7 772 3351
7 778 1513
7 880 2566
7 934 2532
7 1221 3398
7 1388 3420
7 1442 1454
7 1478 2838
7 1726 364
7 1741 2178
7 1751 1309
7 1855 3187
7 1859 2236
7 1882 2506
7 1912 1571
7 1956 1373
7 1972 1158
7 1979 2254
7 2003 2779
7 2021 1853
7 2113 600
7 2189 2382
7 2216 1094
7 2265 954
7 2277 157
7 2305 780
7 2419 2941
7 2652 1570
7 2686 1316
7 2690 2476
7 2701 644
7 2703 3190
7 2759 3064
7 2801 3038
7 2826 2784
7 2858 707
7 3060 2568
7 3168 3495
