1000 20301
0 2 346
0 7 860
0 10 92
0 12 668
0 15 447
0 17 257
0 24 387
0 27 640
0 28 245
0 29 387
0 34 463
0 35 6
0 41 268
0 43 970
0 44 598
0 45 181
0 46 976
0 47 376
0 52 278
0 53 781
0 55 900
0 60 637
0 62 376
0 65 980
0 66 391
0 67 688
0 70 107
0 71 12
0 72 811
0 73 377
0 76 112
0 77 653
0 80 235
0 85 536
0 88 497
0 90 191
0 91 640
0 96 743
0 101 424
0 102 9
0 107 390
0 108 182
0 109 930
0 114 909
0 119 226
0 124 486
0 127 853
0 128 308
0 129 589
0 134 46
0 136 47
0 139 707
0 140 355
0 141 594
0 143 427
0 146 359
0 147 167
0 155 940
0 156 129
0 157 971
0 161 704
0 164 784
0 165 660
0 169 271
0 179 948
0 182 499
0 183 898
0 184 370
0 192 999
0 195 977
0 197 515
0 198 534
0 202 86
0 210 911
0 211 451
0 214 672
0 216 117
0 220 497
0 228 472
0 236 469
0 237 601
0 239 212
0 242 811
0 247 40
0 248 151
0 250 886
0 251 291
0 257 82
0 264 790
0 266 835
0 267 974
0 269 390
0 270 319
0 277 210
0 278 775
0 279 816
0 280 345
0 281 237
0 283 714
0 289 987
0 290 473
0 292 103
0 293 600
0 294 252
0 295 819
0 297 382
0 298 633
0 299 891
0 302 752
0 303 527
0 307 446
0 309 762
0 310 213
0 312 878
0 313 8
0 318 468
0 328 685
0 331 822
0 332 216
0 337 445
0 339 919
0 340 328
0 341 112
0 345 99
0 346 168
0 347 333
0 348 67
0 350 943
0 351 666
0 356 46
0 358 10
0 362 665
0 364 212
0 365 652
0 371 714
0 373 13
0 374 492
0 375 359
0 378 843
0 383 329
0 384 975
0 386 735
0 388 590
0 389 7
0 391 575
0 406 844
0 414 248
0 415 901
0 420 983
0 425 541
0 427 526
0 430 401
0 432 754
0 434 945
0 438 946
0 441 736
0 442 307
0 446 607
0 449 520
0 454 150
0 455 3
0 465 803
0 466 320
0 467 223
0 470 413
0 474 266
0 477 551
0 479 880
0 480 417
0 481 786
0 482 801
0 485 98
0 487 556
0 492 7
0 494 641
0 497 141
0 498 539
0 500 276
0 501 444
0 506 765
0 509 3
0 516 346
0 520 786
0 534 755
0 535 892
0 538 323
0 539 796
0 542 136
0 543 646
0 548 536
0 555 527
0 556 466
0 557 168
0 559 257
0 561 905
0 562 200
0 563 375
0 568 304
0 570 286
0 572 200
0 574 365
0 575 461
0 576 948
0 577 647
0 581 49
0 583 926
0 587 897
0 595 71
0 597 458
0 598 683
0 600 256
0 601 467
0 604 958
0 605 659
0 608 258
0 610 592
0 616 544
0 626 532
0 630 963
0 633 852
0 638 186
0 639 831
0 640 795
0 644 606
0 646 175
0 647 761
0 652 985
0 656 121
0 660 683
0 661 331
0 662 180
0 664 745
0 665 185
0 668 934
0 669 758
0 671 843
0 676 599
0 678 488
0 682 833
0 683 910
0 684 168
0 689 759
0 690 548
0 691 509
0 696 8
0 697 790
0 701 12
0 703 38
0 707 289
0 709 50
0 711 474
0 713 306
0 717 697
0 718 61
0 724 327
0 725 199
0 727 267
0 729 143
0 731 951
0 732 513
0 733 713
0 734 631
0 736 455
0 739 953
0 744 243
0 745 721
0 748 453
0 753 27
0 754 777
0 756 22
0 760 606
0 761 613
0 762 358
0 763 299
0 764 866
0 771 159
0 773 675
0 776 685
0 782 716
0 783 93
0 785 816
0 786 540
0 791 588
0 792 803
0 793 185
0 794 391
0 795 94
0 799 554
0 801 738
0 804 388
0 812 599
0 813 838
0 815 305
0 816 812
0 819 517
0 820 744
0 821 500
0 823 368
0 826 840
0 828 800
0 831 820
0 835 256
0 836 347
0 837 141
0 838 596
0 841 455
0 842 956
0 843 158
0 844 915
0 852 15
0 855 180
0 856 899
0 861 654
0 863 970
0 868 567
0 870 561
0 873 566
0 875 691
0 879 923
0 881 421
0 884 195
0 885 566
0 887 497
0 890 291
0 891 743
0 896 131
0 897 928
0 898 515
0 901 404
0 902 367
0 905 307
0 911 914
0 917 290
0 918 947
0 919 215
0 920 381
0 922 555
0 923 325
0 924 630
0 926 840
0 927 26
0 928 289
0 934 619
0 935 304
0 936 550
0 943 533
0 945 552
0 947 133
0 949 275
0 950 219
0 951 246
0 953 793
0 954 38
0 956 351
0 957 918
0 965 703
0 968 930
0 972 936
0 973 447
0 975 665
0 978 744
0 982 255
0 986 263
0 987 660
0 990 471
0 992 396
0 993 827
0 994 508
0 995 739
0 997 420
0 998 750
1 17 497
1 30 396
1 54 984
1 55 248
1 81 950
1 151 166
1 200 913
1 203 311
1 312 598
1 352 955
1 355 20
1 396 263
1 489 366
1 517 172
1 633 50
1 650 817
1 672 467
1 777 80
1 838 831
1 886 471
1 890 525
1 913 808
1 915 111
1 958 378
2 46 341
2 76 20
2 190 240
2 490 923
2 514 666
2 542 66
2 672 336
2 710 727
2 784 310
2 898 946
2 930 535
3 23 563
3 34 362
3 242 885
3 273 9
3 277 198
3 457 441
3 553 333
3 560 76
3 582 474
3 661 285
3 779 708
3 789 535
3 837 746
3 914 878
3 976 580
3 999 228
4 25 338
4 52 296
4 161 473
4 253 845
4 256 847
4 259 450
4 267 797
4 319 876
4 350 155
4 396 490
4 442 197
4 464 183
4 499 813
4 520 194
4 554 853
4 565 950
4 599 683
4 670 592
4 674 278
4 686 413
4 750 706
4 763 229
4 819 895
4 921 246
4 958 789
4 986 928
5 10 735
5 65 560
5 216 780
5 269 153
5 327 103
5 489 295
5 578 162
5 590 64
5 594 811
5 626 226
5 650 607
5 712 688
5 786 725
5 801 795
5 838 168
5 861 181
5 965 518
5 988 750
6 3 878
6 51 114
6 231 45
6 259 400
6 314 297
6 432 248
6 519 381
6 623 620
6 653 8
6 689 214
6 724 831
6 821 537
6 846 716
6 863 939
6 924 543
6 935 392
7 76 832
