Name 	, f-Java	, f-SML	, p-C	, p-C++	, p-Java	, p-SML	, 
1000-S	, 24 	, 29 	, 0 	, 1 	, 18 	, 6 	, 
1500-S	, 62 	, 144 	, 1 	, 3 	, 26 	, 20 	, 
2000-S	, 181 	, 330 	, 4 	, 3 	, 27 	, 30 	, 
2500-S	, 453 	, 806 	, 2 	, 4 	, 34 	, 42 	, 
3000-S	, 849 	, 1474 	, 4 	, 9 	, 45 	, 78 	, 
3500-S	, 1594 	, 3112 	, 5 	, 8 	, 46 	, 86 	, 
4000-S	, 2327 	, 3092 	, 6 	, 9 	, 50 	, 106 	, 
4500-S	, 3708 	, 6469 	, 9 	, 18 	, 80 	, 154 	, 
5000-S	, 4825 	, 8137 	, 12 	, 16 	, 71 	, 209 	, 
5500-S	, 6689 	, 9589 	, 12 	, 17 	, 76 	, 199 	, 
1000-D	, 4315 	, 3501 	, 5 	, 7 	, 49 	, 75 	, 
1050-D	, 5082 	, 3350 	, 4 	, 9 	, 59 	, 80 	, 
1100-D	, 5594 	, 4815 	, 6 	, 8 	, 57 	, 90 	, 
1150-D	, 6624 	, 4946 	, 5 	, 8 	, 50 	, 96 	, 
1200-D	, 7411 	, 5833 	, 7 	, 10 	, 58 	, 121 	, 
1250-D	, 7876 	, 6956 	, 7 	, 10 	, 58 	, 104 	, 
1300-D	, 9633 	, 8161 	, 6 	, 11 	, 66 	, 124 	, 
1350-D	, 10745 	, 9239 	, 6 	, 11 	, 56 	, 124 	, 
1400-D	, 12225 	, 8837 	, 7 	, 13 	, 64 	, 121 	, 
1450-D	, 13226 	, 10921 	, 7 	, 13 	, 102 	, 142 	, 
1000-ACNET	, 26936 	, 61420 	, 36 	, 19 	, 81 	, 217 	, 
1050-ACNET	, 32233 	, 73659 	, 53 	, 20 	, 92 	, 242 	, 
1100-ACNET	, 38790 	, 81477 	, 122 	, 54 	, 239 	, 512 	, 
1150-ACNET	, 45218 	, 107295 	, 108 	, 78 	, 269 	, 850 	, 
1200-ACNET	, 49128 	, 70879 	, 127 	, 56 	, 197 	, 450 	, 
1250-ACNET	, 55292 	, 94899 	, 82 	, 37 	, 119 	, 325 	, 
1300-ACNET	, 60734 	, 140758 	, 143 	, 46 	, 172 	, 559 	, 
1350-ACNET	, 77618 	, 167591 	, 179 	, 73 	, 215 	, 771 	, 
1400-ACNET	, 85543 	, 107041 	, 212 	, 104 	, 313 	, 1272 	, 
1450-ACNET	, 99389 	, 187081 	, 187 	, 59 	, 179 	, 537 	, 
3x1000-WASH	, 106 	, 408 	, 7 	, 208 	, 635 	, 1341 	, 
3x1500-WASH	, 213 	, 939 	, 16 	, 609 	, 1380 	, 4317 	, 
3x2000-WASH	, 324 	, 2032 	, 29 	, 1163 	, 3293 	, 7742 	, 
3x2500-WASH	, 547 	, 2682 	, 51 	, 2270 	, 5272 	, 13674 	, 
3x3000-WASH	, 684 	, 4493 	, 69 	, 3059 	, 8591 	, 20729 	, 
3x3500-WASH	, 1141 	, 6303 	, 105 	, 4833 	, 13532 	, 28675 	, 
3x4000-WASH	, 1221 	, 7973 	, 128 	, 6585 	, 17052 	, 43515 	, 
3x4500-WASH	, 1897 	, 10450 	, 162 	, 9052 	, 25337 	, 58359 	, 
3x5000-WASH	, 1852 	, 13322 	, 221 	, 14934 	, 42659 	, 97704 	, 
3x5500-WASH	, 2265 	, 16426 	, 243 	, 15437 	, 42857 	, 94802 	, 
16x1000-GENRMF	, ---	, ---	, 7 	, 831 	, 1656 	, 4301 	, 
16x1100-GENRMF	, ---	, ---	, 9 	, 969 	, 2128 	, 5596 	, 
16x1200-GENRMF	, ---	, ---	, 13 	, 1229 	, 2702 	, 7578 	, 
16x1300-GENRMF	, ---	, ---	, 14 	, 1595 	, 3533 	, 9781 	, 
16x1400-GENRMF	, ---	, ---	, 16 	, 1333 	, 2876 	, 8085 	, 
16x1500-GENRMF	, ---	, ---	, 17 	, 2092 	, 5115 	, 13574 	, 
16x1600-GENRMF	, ---	, ---	, 24 	, 2643 	, 6023 	, 17699 	, 
16x1700-GENRMF	, ---	, ---	, 27 	, 2708 	, 6185 	, 18285 	, 
16x1800-GENRMF	, ---	, ---	, 20 	, 2212 	, 5136 	, 15585 	, 
16x1900-GENRMF	, ---	, ---	, 26 	, 2839 	, 6118 	, 22434 	, 
