100 1634
0 2 14
0 5 2
0 7 52
0 9 58
0 11 25
0 15 29
0 36 67
0 58 76
0 76 50
0 79 86
0 82 86
0 83 2
0 86 83
0 89 89
1 6 21
1 11 43
1 18 74
1 19 96
1 20 3
1 22 17
1 23 24
1 24 20
1 34 80
1 36 19
1 45 75
1 60 49
1 63 100
1 64 86
1 71 91
1 80 80
1 85 1
2 8 24
2 12 27
2 17 95
2 26 3
2 28 78
2 36 88
2 39 63
2 45 53
2 47 4
2 50 40
2 66 53
2 71 51
2 72 35
2 78 47
2 79 51
2 81 13
2 84 78
2 88 8
2 93 3
2 99 11
3 1 41
3 2 7
3 9 96
3 13 93
3 15 98
3 42 34
3 43 82
3 51 100
3 55 49
3 60 60
3 67 36
3 92 90
3 93 51
3 99 54
4 5 16
4 13 4
4 15 38
4 17 64
4 25 84
4 49 22
4 66 87
4 68 87
4 69 76
4 76 14
4 85 83
5 14 91
5 22 29
5 25 41
5 32 89
5 43 31
5 44 18
5 46 59
5 60 8
5 87 50
5 88 51
5 91 21
5 96 22
6 4 75
6 5 90
6 17 39
6 19 59
6 22 36
6 23 51
6 33 78
6 34 12
6 35 37
6 43 80
6 47 30
6 49 99
6 50 83
6 53 78
6 54 97
6 55 47
6 64 87
6 76 3
6 79 55
6 81 68
6 82 97
6 87 85
6 88 41
6 94 6
6 96 99
7 3 40
7 5 72
7 10 60
7 17 6
7 23 37
7 24 17
7 29 44
7 42 66
7 45 60
7 53 59
7 54 59
7 61 72
7 63 25
7 66 64
7 81 22
8 6 95
8 7 33
8 20 65
8 22 72
8 24 25
8 28 3
8 31 42
8 36 25
8 38 98
8 43 34
8 48 75
8 50 40
8 51 15
8 54 19
8 57 82
8 61 13
8 62 9
8 67 43
8 79 89
8 95 87
8 96 18
9 5 20
9 24 78
9 30 63
9 34 21
9 41 80
9 46 41
9 50 74
9 53 69
9 55 81
9 59 32
9 60 52
9 69 46
9 72 26
9 76 30
9 77 75
9 81 63
9 89 89
9 91 11
9 97 70
9 99 65
10 6 65
10 8 21
10 9 71
10 11 73
10 12 11
10 22 64
10 34 60
10 35 14
10 37 71
10 48 82
10 51 28
10 54 72
10 59 53
10 69 93
10 83 60
10 85 66
10 87 71
10 90 37
10 92 26
10 93 91
11 8 90
11 23 60
11 25 70
11 26 19
11 28 58
11 30 4
11 45 21
11 53 73
11 66 39
11 67 13
11 68 72
11 76 71
11 81 39
11 93 98
11 94 14
12 1 68
12 4 61
12 9 63
12 30 88
12 33 95
12 34 59
12 38 38
12 43 88
12 48 8
12 53 13
12 54 30
12 57 48
12 62 34
12 65 13
12 71 62
12 75 24
12 80 43
12 82 52
12 90 51
13 12 63
13 26 98
13 29 98
13 32 65
13 45 69
13 46 45
13 50 57
13 54 27
13 60 100
13 61 99
13 71 78
13 73 95
13 82 59
13 84 57
13 85 18
13 92 12
14 7 81
14 12 6
14 19 31
14 23 4
14 46 73
14 51 23
14 59 77
14 65 35
14 97 71
14 99 65
15 2 50
15 10 73
15 24 14
15 29 25
15 30 58
15 39 49
15 40 21
15 42 16
15 53 41
15 64 97
15 67 1
15 68 17
15 77 71
15 79 5
15 83 58
15 92 53
15 96 46
16 32 32
16 47 75
16 57 11
16 67 53
16 69 62
16 72 18
16 74 12
16 78 73
16 79 78
